selling_price,km_driven,transmission,owner,mileage,engine,max_power,seats,age,seller_type_Individual,seller_type_Trustmark Dealer,fuel_Diesel,fuel_LPG,fuel_Petrol,brand_Ashok,brand_Audi,brand_BMW,brand_Chevrolet,brand_Daewoo,brand_Datsun,brand_Fiat,brand_Force,brand_Ford,brand_Honda,brand_Hyundai,brand_Isuzu,brand_Jaguar,brand_Jeep,brand_Kia,brand_Land,brand_Lexus,brand_MG,brand_Mahindra,brand_Maruti,brand_Mercedes-Benz,brand_Mitsubishi,brand_Nissan,brand_Opel,brand_Renault,brand_Skoda,brand_Tata,brand_Toyota,brand_Volkswagen,brand_Volvo
174000,0.5379879029611233,0,1,0.3795593691443119,0.054384400788233055,-0.7989273300865581,5.0,0.7664819064653615,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
950000,-0.34027238334470716,0,0,1.5138891152499645,0.13261106172725076,0.28776887503183085,5.0,-0.7861258978130246,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525000,-0.5159244406058733,0,0,1.7886489870844446,-0.395947458130977,-0.4870927668786724,5.0,-0.2685899630535626,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
600000,0.046162142629858266,0,0,0.5055960076004955,-0.395947458130977,-0.02091584410324767,5.0,0.5077139390856305,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
500000,-0.6037504692364563,0,0,0.203108075305655,-0.4995449280231896,-0.17809306333631303,5.0,-1.0448938651927555,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
575000,-0.4280984119752902,0,0,0.48038867990925843,-0.5037733961820554,-0.20045695625324245,5.0,-0.5273579304332936,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
275000,-0.7267069093192726,0,0,1.3122304937200704,-1.3515812620346528,-1.3281011343181213,5.0,-0.7861258978130246,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
300000,0.011031731177625048,0,0,-0.32624580621031657,-0.395947458130977,-0.49339245502428636,7.0,0.24894597170589947,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,0.8892920174834555,0,0,-0.14979451237165967,-0.7913092309849313,-0.7075818519751571,5.0,1.2840178412248235,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
254999,-0.7794025264976224,0,0,-0.6791483938876304,-1.3515812620346528,-1.7407307078558283,8.0,-1.0448938651927555,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
670000,0.011031731177625048,0,0,1.211401182955124,-0.395947458130977,-0.03036537632166835,5.0,-0.7861258978130246,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
150000,-0.6037504692364563,0,1,-1.3849535692422588,-1.3515812620346528,-1.715531955273373,5.0,0.5077139390856305,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
730000,-1.1765869583765711,0,0,-0.22541649544536912,-0.5037733961820554,-0.24045997597789026,5.0,-1.0448938651927555,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650000,-0.9339763368874486,0,0,1.211401182955124,-0.395947458130977,-0.03036537632166835,5.0,-0.7861258978130246,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
330000,-1.0428806123893715,0,1,3.5153509339341595,-1.3515812620346528,-1.548590219414606,4.0,-1.3036618325724867,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
366000,-0.9550545837587885,0,0,1.1231755360357951,-0.9245059779892046,-0.7044320079023504,5.0,-1.3036618325724867,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
